       Elevation            Area
          820.00         6178.00
          830.00         6835.00
          840.00         7509.00
          850.00         8192.00
          860.00         8893.00
          870.00         9640.00
          880.00        10417.00
          890.00        11197.00
          900.00        11986.00
          910.00        12839.00
          920.00        13726.00
          930.00        14620.00
          940.00        15535.00
          950.00        16475.00
          960.00        17439.00
          970.00        18449.00
          980.00        19517.00
          990.00        20621.00
         1000.00        21756.00
         1010.00        22916.00
         1020.00        24095.00
         1030.00        25282.00
         1040.00        26478.00
         1050.00        27701.00
         1060.00        28955.00
         1067.00        29605.00
