       Elevation         Storage
          544.00            0.00
          576.00            0.00
          577.00            1.00
          578.00            2.00
          579.00            6.00
          580.00           10.00
          581.00           16.00
          582.00           23.00
          583.00           31.00
          584.00           41.00
          585.00           53.00
          586.00           66.00
          587.00           81.00
          588.00           98.00
          589.00          117.00
          590.00          137.00
          591.00          161.00
          592.00          186.00
          593.00          214.00
          594.00          245.00
          595.00          279.00
          596.00          315.00
          597.00          355.00
          598.00          398.00
          599.00          445.00
          600.00          495.00
          601.00          549.00
          602.00          607.00
          603.00          669.00
          604.00          735.00
          605.00          806.00
          606.00          862.00
          607.00          962.00
          608.00         1047.00
          609.00         1138.00
          610.00         1234.00
          611.00         1335.00
          612.00         1443.00
          613.00         1556.00
          614.00         1675.00
          615.00         1801.00
          616.00         1933.00
          617.00         2072.00
          618.00         2218.00
          619.00         2371.00
          620.00         2531.00
          621.00         2699.00
          622.00         2374.00
          623.00         3058.00
          624.00         3249.00
          625.00         3449.00
          626.00         3658.00
          627.00         3874.00
          628.00         4100.00
          629.00         4334.00
          630.00         4578.00
          631.00         4830.00
          632.00         5091.00
          633.00         5362.00
          634.00         5642.00
          635.00         5931.00
          636.00         6230.00
          637.00         6535.00
          638.00         6855.00
          639.00         7182.00
          640.00         7514.00
          641.00         7864.00
          642.00         8219.00
          643.00         8584.00
          644.00         8958.00
          645.00         9341.00
          646.00         9734.00
          647.00        10137.00
          648.00        10549.00
          649.00        10971.00
          650.00        11404.00
          651.00        11846.00
          652.00        12299.00
          653.00        12762.00
          654.00        13236.00
          655.00        13721.00
          656.00        14217.00
          657.00        14724.00
          658.00        15243.00
          659.00        15775.00
          660.00        16318.00
          661.00        16875.00
          662.00        17444.00
          663.00        18027.00
          664.00        18624.00
          665.00        19234.00
          666.00        19859.00
          667.00        20499.00
          668.00        21153.00
          669.00        21823.00
          670.00        22507.00
          671.00        23208.00
          672.00        23924.00
          673.00        24657.00
          674.00        25406.00
          675.00        26171.00
          676.00        26953.00
          677.00        27752.00
          678.00        28567.00
          679.00        29400.00
          680.00        30251.00
          681.00        31115.00
          682.00        32004.00
          683.00        32907.00
          684.00        33828.00
          685.00        34766.00
          686.00        35723.00
          687.00        36698.00
          688.00        37692.00
          689.00        38704.00
          690.00        39735.00
          691.00        40784.00
          692.00        41853.00
          693.00        42940.00
          694.00        44047.00
          695.00        45173.00
          696.00        46319.00
          697.00        47485.00
          698.00        48670.00
          699.00        49876.00
          700.00        51102.00
          701.00        52348.00
          702.00        53615.00
          703.00        54902.00
          704.00        56211.00
          705.00        57541.00
          706.00        58893.00
          707.00        60266.00
          708.00        61662.00
          709.00        63080.00
          710.00        64522.00
          711.00        65087.00
          712.00        67475.00
          713.00        68988.00
          714.00        70526.00
          715.00        72089.00
          716.00        73679.00
          717.00        75294.00
          718.00        76937.00
          719.00        78607.00
          720.00        80306.00
          721.00        82033.00
          722.00        83790.00
          723.00        85578.00
          724.00        87397.00
          725.00        89247.00
          726.00        91129.00
          727.00        93043.00
          728.00        94991.00
          729.00        96972.00
          730.00        99967.00
          731.00       101036.00
          732.00       103120.00
          733.00       105238.00
          734.00       107392.00
          735.00       109582.00
          736.00       111807.00
          737.00       114068.00
          738.00       116366.00
          739.00       118699.00
          740.00       121069.00
          741.00       123475.00
          742.00       125918.00
          743.00       128397.00
          744.00       130913.00
          745.00       133466.00
          746.00       138055.00
          747.00       138682.00
          748.00       141346.00
          749.00       144048.00
          750.00       146785.00
          751.00       149566.00
          752.00       152383.00
          753.00       155238.00
          754.00       158132.00
          755.00       161066.00
          756.00       164048.00
          757.00       167055.00
          758.00       170111.00
          759.00       173207.00
          760.00       176345.00
          761.00       179528.00
          762.00       182752.00
          763.00       186020.00
