         Idx      Elevation_ft
           0               544
           1               600
           2               650
           3               670
           4               685
           5               700
           6               710
           7               720
           8               730
           9               740
          10                750
          11               760
          12               770
          12               780
          14               790
          15               800
          16               810
          17               820
          18               830
          19               840
          20               850
          21               860
          21               870
          22               880
          24               890
          25               900
          26               910
          27               920
          28               930
          29               940
          30               950
          31               960
          32               970
          33               980
          34               990
          35              1000
          36              1010
          37              1020
          38              1030
          39              1040
          40              1050
          41              1060
          42              1067
