Date,Total_Outflow_cfs,Total_Outflow_AF,Evap_cfs,Evap_AF,Storage_AF,Stage_ft,Tw_Temp_degF,Area_ac
2000-01-01,4796,9512.727273,42,83.30578512,3226056,1017.52,52.7375,23795.53608
2000-01-02,4878,9675.371901,0,0,3226532,1017.46,52.60833333,23797.8918
2000-01-03,4743,9407.603306,21,41.65289256,3226294,1017.48,52.45,23796.71394
2000-01-04,4919,9756.694215,0,0,3227009,1017.47,52.29166667,23800.25247
2000-01-05,4890,9699.173554,42,83.30578512,3225579,1017.5,52.18333333,23793.17541
2000-01-06,4619,9161.652893,91,180.4958678,3225579,1017.44,51.95,23793.17541
2000-01-07,4517,8959.338843,35,69.4214876,3227485,1017.44,51.99068256,23802.6082
2000-01-08,4529,8983.140496,49,97.19008264,3227009,1017.52,51.61283323,23800.25247
2000-01-09,4415,8757.024793,7,13.88429752,3226056,1017.5,51.60833333,23795.53608
2000-01-10,4524,8973.22314,0,0,3229153,1017.46,51.35416667,23810.86313
2000-01-11,4306,8540.826446,0,0,3244427,1017.59,51.12083333,23886.31867
2000-01-12,3572,7084.958678,7,13.88429752,3252328,1018.23,51.025,23925.22636
2000-01-13,4206,8342.479339,14,27.76859504,3262862,1018.56,51.0375,23977.1
2000-01-14,2711,5377.190083,0,0,3295363,1019,50.91289357,24136.54352
2000-01-15,1913,3794.380165,101,200.3305785,3355000,1020.35,50.84614567,24428.69503
2000-01-16,624,1237.68595,58,115.0413223,3415575,1022.815,50.47668689,24721.73369
2000-01-17,3105,6158.677686,15,29.75206612,3447281,1025.28,50.83943758,24873.67276
2000-01-18,3947,7828.760331,103,204.2975207,3470941,1026.56,50.85980858,24986.43638
2000-01-19,2019,4004.628099,0,0,3503748,1027.51,50.72800992,25141.9358
2000-01-20,2311,4583.801653,0,0,3549189,1028.82,50.56647193,25356.15294
2000-01-21,1878,3724.958678,90,178.5123967,3582755,1030.62,50.2417799,25514.02353
2000-01-22,4006,7945.785124,15,29.75206612,3606292,1031.94,50.2946419,25624.05544
2000-01-23,4192,8314.710744,0,0,3633024,1032.86,50.29393221,25748.44046
2000-01-24,4326,8580.495868,0,0,3669753,1033.9,50.26036845,25918.27034
2000-01-25,8585,17028.09917,0,0,3697073,1035.32,50.16166158,26043.85319
2000-01-26,11593,22994.38017,0,0,3709341,1036.37,50.05073986,26100.06547
2000-01-27,12995,25775.20661,31,61.48760331,3712473,1036.84,50.42446526,26114.41637
2000-01-28,12201,24200.33058,54,107.107438,3713517,1036.96,50.57242406,26119.2
2000-01-29,18128,35956.36364,69,136.8595041,3701771,1037,50.5,26065.37954
2000-01-30,16690,33104.13223,0,0,3698117,1036.55,49.98333333,26048.63682
2000-01-31,15542,30827.10744,15,29.75206612,3697073,1036.41,49.73333333,26043.85319
2000-02-01,15832,31402.31405,100,198.3471074,3693157,1036.37,49.97083333,26025.90998
2000-02-02,12140,24079.33884,0,0,3697073,1036.22,49.60416667,26043.85319
2000-02-03,9663,19166.28099,31,61.48760331,3704120,1036.37,49.425,26076.14272
2000-02-04,10704,21231.07438,15,29.75206612,3707775,1036.64,49.47916667,26092.89002
2000-02-05,9716,19271.40496,46,91.23966942,3726631,1036.78,49.11666667,26179.00228
2000-02-06,6487,12866.77686,31,61.48760331,3758720,1037.5,48.99166667,26324.91055
2000-02-07,7395,14667.7686,31,61.48760331,3777491,1038.72,49.075,26409.82935
2000-02-08,10243,20316.69421,62,122.9752066,3787027,1039.43,49.44166667,26452.88355
2000-02-09,14637,29032.06612,16,31.73553719,3783054,1039.79,50.04227133,26434.94581
2000-02-10,13178,26138.18182,47,93.2231405,3785968,1039.64,49.99095294,26448.10226
2000-02-11,14362,28486.61157,218,432.3966942,3802119,1039.75,49.74645824,26522.02708
2000-02-12,16532,32790.7438,63,124.9586777,3839012,1040.36,49.52753073,26692.02385
2000-02-13,15187,30122.97521,262,519.6694215,3907073,1041.75,49.35491204,27002.54617
2000-02-14,15670,31080.99174,0,0,4021446,1044.29,49.1770788,27516.32718
2000-02-15,33800,67041.32231,24,47.60330579,4033548,1048.49,49.57350249,27570.14025
2000-02-16,35333,70081.98347,0,0,4022546,1048.93,49.59856145,27521.21847
2000-02-17,36199,71799.66942,32,63.47107438,3997293,1048.53,49.47040016,27408.70412
2000-02-18,37444,74269.09091,72,142.8099174,3963973,1047.61,49.42601509,27259.49552
2000-02-19,40776,80878.01653,95,188.4297521,3915438,1046.39,49.2802836,27040.33156
2000-02-20,36197,71795.70248,8,15.8677686,3877224,1044.6,49.45109144,26866.912
2000-02-21,35477,70367.60331,133,263.8016529,3840342,1043.18,49.53202543,26698.13816
2000-02-22,31294,62070.7438,549,1088.92562,3835022,1041.8,49.38760776,26673.68092
2000-02-23,31046,61578.84298,165,327.2727273,3837416,1041.6,49.08070761,26684.68668
2000-02-24,33677,66797.35537,16,31.73553719,3818531,1041.69,49.18573267,26597.85585
2000-02-25,37656,74689.58678,109,216.1983471,3785173,1040.98,49.09019669,26444.5129
2000-02-26,29461,58435.04132,312,618.8429752,3799737,1039.72,49.05840544,26511.02146
2000-02-27,31137,61759.33884,173,343.1404959,3845663,1040.27,49.29433135,26722.6
2000-02-28,35651,70712.72727,94,186.446281,3854216,1042,49.51461985,26761.73765
2000-02-29,39265,77880.99174,0,0,3857423,1042.32,49.19727717,26776.41255
2000-03-01,45106,89466.44628,0,0,3831829,1042.44,48.77868387,26659.00198
2000-03-02,47786,94782.14876,78,154.7107438,3791001,1041.48,48.81685116,26470.82581
2000-03-03,49949,99072.39669,8,15.8677686,3734499,1039.94,48.88761892,26214.88182
2000-03-04,48378,95956.36364,76,150.7438017,3680922,1037.8,48.83796629,25969.70115
2000-03-05,41735,82780.16529,61,120.9917355,3645417,1035.75,48.87075845,25805.84578
2000-03-06,34209,67852.56198,23,45.61983471,3620678,1034.38,48.99380368,25691.03284
2000-03-07,35812,71032.06612,30,59.50413223,3594008,1033.42,48.89185963,25566.64819
2000-03-08,35111,69641.65289,0,0,3574097,1032.38,49.22343706,25473.36
2000-03-09,32674,64807.93388,15,29.75206612,3563147,1031.6,48.92077991,25421.93177
2000-03-10,35557,70526.28099,22,43.63636364,3540827,1031.17,49.01321609,25316.68589
2000-03-11,28823,57169.58678,15,29.75206612,3533478,1030.29,48.5511312,25282
2000-03-12,25634,50844.29752,15,29.75206612,3526670,1030,48.69933087,25249.94996
2000-03-13,21248,42144.79339,126,249.9173554,3523645,1029.73,48.79411479,25235.70917
2000-03-14,19225,38132.2314,82,162.6446281,3522888,1029.61,48.76261662,25232.14544
2000-03-15,15033,29817.52066,82,162.6446281,3526166,1029.58,48.68581228,25247.57728
2000-03-16,12925,25636.36364,156,309.4214876,3532217,1029.71,48.8150001,25276.06359
2000-03-17,8660,17176.8595,127,251.9008264,3546908,1029.95,48.58064771,25345.38706
2000-03-18,6918,13721.65289,135,267.768595,3561619,1030.53,48.34435033,25414.7553
2000-03-19,6828,13543.1405,142,281.6528926,3575116,1031.11,48.37242612,25478.14588
2000-03-20,7685,15242.97521,165,327.2727273,3586586,1031.64,48.67678809,25531.96269
2000-03-21,7281,14441.65289,166,329.2561983,3597335,1032.09,48.75820598,25582.19637
2000-03-22,5974,11849.2562,151,299.5041322,3609363,1032.51,48.50262722,25638.40725
2000-03-23,4410,8747.107438,113,224.1322314,3623764,1032.98,48.20945236,25705.38242
2000-03-24,2996,5942.479339,114,226.1157025,3641282,1033.54,48.15280791,25786.71144
2000-03-25,2862,5676.694215,152,301.4876033,3658857,1034.22,48.33142789,25868.03815
2000-03-26,2558,5073.719008,84,166.6115702,3675727,1034.9,48.37622947,25945.77931
2000-03-27,2308,4577.85124,161,319.338843,3691591,1035.55,49.80976374,26018.73453
2000-03-28,3220,6386.77686,92,182.4793388,3708819,1036.16,50.9859347,26097.67365
2000-03-29,3052,6053.553719,115,228.0991736,3722959,1036.82,51.28240229,26162.25728
2000-03-30,2766,5486.280992,154,305.4545455,3737384,1037.36,51.25987522,26228.03796
2000-03-31,3809,7555.041322,186,368.9256198,3751868,1037.91,51.62518053,26293.81709
2000-04-01,3162,6271.735537,202,400.661157,3768484,1038.46,51.68724548,26369.16355
2000-04-02,2227,4417.190083,194,384.7933884,3786232,1039.09,51.14930645,26449.29419
2000-04-03,1955,3877.68595,211,418.5123967,3800266,1039.76,49.59929961,26513.46561
2000-04-04,2860,5672.727273,195,386.7768595,3811913,1040.29,49.69185153,26567.27854
2000-04-05,1456,2887.933884,141,279.6694215,3828903,1040.73,48.3770006,26645.55049
2000-04-06,2481,4920.991736,236,468.0991736,3844067,1041.37,49.6893891,26715.26283
2000-04-07,3099,6146.77686,118,234.0495868,3857957,1041.94,50.31706927,26778.85608
2000-04-08,3217,6380.826446,237,470.0826446,3870786,1042.46,51.23392258,26837.56026
