Date,Total_Outflow_cfs,Total_Outflow_AF,Evap_cfs,Evap_AF,Storage_AF,Tw_Temp_degF
1/1/2000,4796,9512.727273,42,83.30578512,3226056,52.7375
1/2/2000,4878,9675.371901,0,0,3226532,52.60833333
1/3/2000,4743,9407.603306,21,41.65289256,3226294,52.45
1/4/2000,4919,9756.694215,0,0,3227009,52.29166667
1/5/2000,4890,9699.173554,42,83.30578512,3225579,52.18333333
1/6/2000,4619,9161.652893,91,180.4958678,3225579,51.95
1/7/2000,4517,8959.338843,35,69.4214876,3227485,51.99068256
1/8/2000,4529,8983.140496,49,97.19008264,3227009,51.61283323
1/9/2000,4415,8757.024793,7,13.88429752,3226056,51.60833333
1/10/2000,4524,8973.22314,0,0,3229153,51.35416667
1/11/2000,4306,8540.826446,0,0,3244427,51.12083333
1/12/2000,3572,7084.958678,7,13.88429752,3252328,51.025
1/13/2000,4206,8342.479339,14,27.76859504,3262862,51.0375
1/14/2000,2711,5377.190083,0,0,3295363,50.91289357
1/15/2000,1913,3794.380165,101,200.3305785,3355000,50.84614567
1/16/2000,624,1237.68595,58,115.0413223,3415575,50.47668689
1/17/2000,3105,6158.677686,15,29.75206612,3447281,50.83943758
1/18/2000,3947,7828.760331,103,204.2975207,3470941,50.85980858
1/19/2000,2019,4004.628099,0,0,3503748,50.72800992
1/20/2000,2311,4583.801653,0,0,3549189,50.56647193
1/21/2000,1878,3724.958678,90,178.5123967,3582755,50.2417799
1/22/2000,4006,7945.785124,15,29.75206612,3606292,50.2946419
1/23/2000,4192,8314.710744,0,0,3633024,50.29393221
1/24/2000,4326,8580.495868,0,0,3669753,50.26036845
1/25/2000,8585,17028.09917,0,0,3697073,50.16166158
1/26/2000,11593,22994.38017,0,0,3709341,50.05073986
1/27/2000,12995,25775.20661,31,61.48760331,3712473,50.42446526
1/28/2000,12201,24200.33058,54,107.107438,3713517,50.57242406
1/29/2000,18128,35956.36364,69,136.8595041,3701771,50.5
1/30/2000,16690,33104.13223,0,0,3698117,49.98333333
1/31/2000,15542,30827.10744,15,29.75206612,3697073,49.73333333
2/1/2000,15832,31402.31405,100,198.3471074,3693157,49.97083333
2/2/2000,12140,24079.33884,0,0,3697073,49.60416667
2/3/2000,9663,19166.28099,31,61.48760331,3704120,49.425
2/4/2000,10704,21231.07438,15,29.75206612,3707775,49.47916667
2/5/2000,9716,19271.40496,46,91.23966942,3726631,49.11666667
2/6/2000,6487,12866.77686,31,61.48760331,3758720,48.99166667
2/7/2000,7395,14667.7686,31,61.48760331,3777491,49.075
2/8/2000,10243,20316.69421,62,122.9752066,3787027,49.44166667
2/9/2000,14637,29032.06612,16,31.73553719,3783054,50.04227133
2/10/2000,13178,26138.18182,47,93.2231405,3785968,49.99095294
2/11/2000,14362,28486.61157,218,432.3966942,3802119,49.74645824
2/12/2000,16532,32790.7438,63,124.9586777,3839012,49.52753073
2/13/2000,15187,30122.97521,262,519.6694215,3907073,49.35491204
2/14/2000,15670,31080.99174,0,0,4021446,49.1770788
2/15/2000,33800,67041.32231,24,47.60330579,4033548,49.57350249
2/16/2000,35333,70081.98347,0,0,4022546,49.59856145
2/17/2000,36199,71799.66942,32,63.47107438,3997293,49.47040016
2/18/2000,37444,74269.09091,72,142.8099174,3963973,49.42601509
2/19/2000,40776,80878.01653,95,188.4297521,3915438,49.2802836
2/20/2000,36197,71795.70248,8,15.8677686,3877224,49.45109144
2/21/2000,35477,70367.60331,133,263.8016529,3840342,49.53202543
2/22/2000,31294,62070.7438,549,1088.92562,3835022,49.38760776
2/23/2000,31046,61578.84298,165,327.2727273,3837416,49.08070761
2/24/2000,33677,66797.35537,16,31.73553719,3818531,49.18573267
2/25/2000,37656,74689.58678,109,216.1983471,3785173,49.09019669
2/26/2000,29461,58435.04132,312,618.8429752,3799737,49.05840544
2/27/2000,31137,61759.33884,173,343.1404959,3845663,49.29433135
2/28/2000,35651,70712.72727,94,186.446281,3854216,49.51461985
2/29/2000,39265,77880.99174,0,0,3857423,49.19727717
3/1/2000,45106,89466.44628,0,0,3831829,48.77868387
3/2/2000,47786,94782.14876,78,154.7107438,3791001,48.81685116
3/3/2000,49949,99072.39669,8,15.8677686,3734499,48.88761892
3/4/2000,48378,95956.36364,76,150.7438017,3680922,48.83796629
3/5/2000,41735,82780.16529,61,120.9917355,3645417,48.87075845
3/6/2000,34209,67852.56198,23,45.61983471,3620678,48.99380368
3/7/2000,35812,71032.06612,30,59.50413223,3594008,48.89185963
3/8/2000,35111,69641.65289,0,0,3574097,49.22343706
3/9/2000,32674,64807.93388,15,29.75206612,3563147,48.92077991
3/10/2000,35557,70526.28099,22,43.63636364,3540827,49.01321609
3/11/2000,28823,57169.58678,15,29.75206612,3533478,48.5511312
3/12/2000,25634,50844.29752,15,29.75206612,3526670,48.69933087
3/13/2000,21248,42144.79339,126,249.9173554,3523645,48.79411479
3/14/2000,19225,38132.2314,82,162.6446281,3522888,48.76261662
3/15/2000,15033,29817.52066,82,162.6446281,3526166,48.68581228
3/16/2000,12925,25636.36364,156,309.4214876,3532217,48.8150001
3/17/2000,8660,17176.8595,127,251.9008264,3546908,48.58064771
3/18/2000,6918,13721.65289,135,267.768595,3561619,48.34435033
3/19/2000,6828,13543.1405,142,281.6528926,3575116,48.37242612
3/20/2000,7685,15242.97521,165,327.2727273,3586586,48.67678809
3/21/2000,7281,14441.65289,166,329.2561983,3597335,48.75820598
3/22/2000,5974,11849.2562,151,299.5041322,3609363,48.50262722
3/23/2000,4410,8747.107438,113,224.1322314,3623764,48.20945236
3/24/2000,2996,5942.479339,114,226.1157025,3641282,48.15280791
3/25/2000,2862,5676.694215,152,301.4876033,3658857,48.33142789
3/26/2000,2558,5073.719008,84,166.6115702,3675727,48.37622947
3/27/2000,2308,4577.85124,161,319.338843,3691591,49.80976374
3/28/2000,3220,6386.77686,92,182.4793388,3708819,50.9859347
3/29/2000,3052,6053.553719,115,228.0991736,3722959,51.28240229
3/30/2000,2766,5486.280992,154,305.4545455,3737384,51.25987522
3/31/2000,3809,7555.041322,186,368.9256198,3751868,51.62518053
4/1/2000,3162,6271.735537,202,400.661157,3768484,51.68724548
4/2/2000,2227,4417.190083,194,384.7933884,3786232,51.14930645
4/3/2000,1955,3877.68595,211,418.5123967,3800266,49.59929961
4/4/2000,2860,5672.727273,195,386.7768595,3811913,49.69185153
4/5/2000,1456,2887.933884,141,279.6694215,3828903,48.3770006
4/6/2000,2481,4920.991736,236,468.0991736,3844067,49.6893891
4/7/2000,3099,6146.77686,118,234.0495868,3857957,50.31706927
4/8/2000,3217,6380.826446,237,470.0826446,3870786,51.23392258
4/9/2000,7517,14909.75207,55,109.0909091,3874270,51.71691342
4/10/2000,8575,17008.26446,118,234.0495868,3873196,52.42531983
4/11/2000,8608,17073.71901,221,438.3471074,3875344,51.15042206
4/12/2000,8170,16204.95868,126,249.9173554,3879373,51.09199857
4/13/2000,8692,17240.33058,127,251.9008264,3895756,50.39061885
4/14/2000,8033,15933.22314,72,142.8099174,3910851,51.06598359
4/15/2000,7832,15534.54545,32,63.47107438,3923264,50.61060415
4/16/2000,7687,15246.94215,56,111.0743802,3944399,50.68033323
4/17/2000,4323,8574.545455,225,446.2809917,3990723,49.80499012
4/18/2000,4233,8396.033058,49,97.19008264,4021171,49.85761796
4/19/2000,3826,7588.760331,33,65.45454545,4048738,51.81787046
4/20/2000,6519,12930.24793,49,97.19008264,4064219,52.73649589
4/21/2000,7064,14011.23967,212,420.4958678,4078935,51.64416239
4/22/2000,7652,15177.52066,204,404.6280992,4088097,49.50673101
4/23/2000,7474,14824.46281,131,259.8347107,4097291,48.88608817
4/24/2000,7685,15242.97521,246,487.9338843,4105939,49.05536145
4/25/2000,7858,15586.1157,148,293.553719,4115146,48.76871494
4/26/2000,8032,15931.23967,197,390.7438017,4121015,48.96964263
4/27/2000,5471,10851.57025,140,277.6859504,4130265,48.52774786
4/28/2000,6763,13414.21488,165,327.2727273,4138954,48.80860168
4/29/2000,7628,15129.91736,165,327.2727273,4145120,48.8760138
4/30/2000,7283,14445.61983,240,476.0330579,4153279,48.87040609
5/1/2000,7664,15201.32231,141,279.6694215,4161445,49.00167415
5/2/2000,8315,16492.56198,116,230.0826446,4161445,49.82732257
5/3/2000,9719,19277.35537,198,392.7272727,4156939,49.92291507
5/4/2000,9523,18888.59504,248,491.9008264,4151307,49.34160983
5/5/2000,10111,20054.87603,248,491.9008264,4144840,49.5900907
5/6/2000,9494,18831.07438,214,424.4628099,4140075,49.47599771
5/7/2000,8333,16528.26446,0,0,4141757,49.22648068
5/8/2000,6880,13646.28099,17,33.71900826,4143439,49.25962645
5/9/2000,7636,15145.78512,223,442.3140496,4142317,49.89547771
5/10/2000,7758,15387.7686,149,295.5371901,4145961,49.17122961
5/11/2000,6541,12973.8843,198,392.7272727,4147365,49.33161428
5/12/2000,6921,13727.60331,140,277.6859504,4149336,49.21092523
5/13/2000,6369,12632.72727,141,279.6694215,4152997,49.50072516
5/14/2000,6576,13043.30579,124,245.9504132,4157221,49.61558647
5/15/2000,7192,14265.12397,41,81.32231405,4158910,51.26152752
5/16/2000,5781,11466.44628,0,0,4161726,50.60228953
5/17/2000,6332,12559.33884,66,130.9090909,4166795,48.98012615
5/18/2000,5759,11422.80992,166,329.2561983,4169048,48.54257657
5/19/2000,7833,15536.52893,224,444.2975207,4172990,48.25464531
5/20/2000,10907,21633.71901,307,608.9256198,4167358,48.26738294
5/21/2000,10951,21720.99174,372,737.8512397,4159192,48.24115336
5/22/2000,10192,20215.53719,248,491.9008264,4153560,48.26852345
5/23/2000,10306,20441.65289,314,622.8099174,4149618,48.37812538
5/24/2000,11047,21911.40496,289,573.2231405,4146522,48.44805176
5/25/2000,9845,19527.27273,281,557.3553719,4145401,48.38366564
5/26/2000,9255,18357.02479,314,622.8099174,4142878,48.31624014
5/27/2000,9787,19412.2314,371,735.8677686,4140355,48.26121943
5/28/2000,10042,19918.01653,247,489.9173554,4136992,48.34344009
5/29/2000,9401,18646.61157,272,539.5041322,4128583,48.28015126
5/30/2000,8779,17412.89256,370,733.8842975,4122697,48.42591851
5/31/2000,9075,18000,304,602.9752066,4111519,48.53790424
